0.21,-0.04,0.97
0.19,-0.02,1.01
0.16,0.01,1.02
0.18,0.00,0.99
0.15,-0.07,0.99
0.15,0.11,0.98
0.23,-0.02,0.85
0.21,-0.05,0.86
0.13,0.01,0.96
0.08,0.02,1.00
0.12,0.04,1.00
0.13,0.01,0.98
0.17,0.01,1.03
0.13,-0.03,1.20
0.10,0.07,1.18
0.07,0.14,1.13
0.04,0.19,1.02
0.11,-0.04,1.05
0.21,0.04,0.93
0.21,-0.03,0.96
0.20,-0.01,1.02
0.25,0.05,1.00
0.30,-0.00,0.93
0.31,-0.02,0.96
0.26,0.01,0.92
0.29,0.04,0.95
0.38,-0.02,0.90
0.33,0.05,0.93
0.37,-0.02,0.85
0.33,0.03,0.83
0.34,0.01,0.83
0.33,0.09,0.82
0.36,0.05,0.85
0.44,-0.00,0.88
0.47,0.03,0.90
0.46,-0.05,0.92
0.41,0.03,0.87
0.29,0.03,0.94
0.22,0.03,0.94
0.20,0.08,0.96
0.19,-0.03,0.96
0.21,0.04,1.01
0.27,0.03,1.01
0.28,0.03,1.03
0.18,0.03,1.01
0.18,0.03,1.02
0.22,0.00,0.97
0.22,0.01,0.96
0.21,0.04,1.01
0.18,0.02,0.97
0.24,-0.01,0.96
0.31,0.00,0.97
0.30,-0.03,0.88
0.15,-0.95,2.89
0.16,0.06,1.02
-0.02,0.09,0.99
-0.02,0.10,1.00
